name,gender,credit_score
Rahul,Male,692.2873058332252
Arjun,Male,694.9709034996198
Suresh,Male,689.5430502912209
Suresh,Male,697.9108204262913
Raj,Male,695.9298410819323
Rahul,Male,718.5078114243573
Arjun,Male,688.3402581431953
Arjun,Male,701.0269051674859
Vikram,Male,702.4784628190182
Raj,Male,689.2967945134816
Raj,Male,706.8682749545284
Suresh,Male,696.0167298711838
Suresh,Male,675.0761034841694
Arjun,Male,706.5984961210456
Vikram,Male,688.8305911589764
Arjun,Male,689.522250538609
Amit,Male,706.879020828924
Suresh,Male,696.5283851758155
Amit,Male,709.177721505515
Vikram,Male,712.1016609536532
Arjun,Male,693.550715396777
Suresh,Male,707.9326249595503
Vikram,Male,692.4453919860712
Arjun,Male,722.3311591713218
Arjun,Male,693.0704299546878
Amit,Male,710.2608744096001
Rahul,Male,708.4379002588157
Raj,Male,703.1608782210893
Suresh,Male,693.2945683858331
Raj,Male,698.4860250805859
Vikram,Male,678.4641188705544
Raj,Male,702.2442003838225
Amit,Male,703.4961533102838
Rahul,Male,701.3349941906138
Suresh,Male,670.2669382870745
Arjun,Male,687.3436355491019
Arjun,Male,692.5190901715134
Amit,Male,702.9165893318905
Suresh,Male,702.8933890564299
Raj,Male,698.2977620802882
Arjun,Male,706.3524553660395
Raj,Male,689.737576246971
Amit,Male,706.1023500569399
Arjun,Male,704.7474210483989
Vikram,Male,703.7755473283792
Rahul,Male,698.1795956891434
Raj,Male,718.3074382483126
Suresh,Male,704.9319568848988
Raj,Male,690.3166413674644
Raj,Male,702.4830547573598
Raj,Male,707.5248337707421
Amit,Male,694.118914010757
Amit,Male,710.892722469311
Suresh,Male,703.8203370571601
Amit,Male,676.5752166233465
Suresh,Male,702.9967197733793
Suresh,Male,695.9397084558728
Amit,Male,705.3717981454174
Arjun,Male,709.4421484025181
Amit,Male,701.9516204714182
Arjun,Male,716.6525223394469
Vikram,Male,698.212931154365
Amit,Male,706.2481782305388
Vikram,Male,708.0494257363735
Amit,Male,699.0265403110727
Vikram,Male,707.7877430797778
Rahul,Male,694.0532701283784
Vikram,Male,695.7743158097878
Arjun,Male,686.8751130966368
Raj,Male,702.4140911637005
Suresh,Male,703.2525167585435
Vikram,Male,711.7926315857923
Raj,Male,707.9114000435588
Rahul,Male,697.1520444335257
Rahul,Male,688.2182031266573
Arjun,Male,704.3285040251998
Arjun,Male,711.1075317241464
Vikram,Male,707.5518497380394
Amit,Male,710.8447752485729
Rahul,Male,697.8811046880176
Raj,Male,695.3338103182435
Amit,Male,692.630986477682
Rahul,Male,699.4410353338641
Vikram,Male,699.2140920403118
Rahul,Male,702.0667762853911
Arjun,Male,698.7070254296449
Raj,Male,698.6637227027323
Raj,Male,692.2330594702786
Arjun,Male,709.4161901355149
Amit,Male,700.7651806224371
Arjun,Male,698.2555606571472
Raj,Male,692.5257074675079
Vikram,Male,686.6808688960891
Amit,Male,713.0796419254934
Suresh,Male,705.546387081318
Rahul,Male,683.7608215743003
Suresh,Male,707.6314230070966
Vikram,Male,709.2248117023311
Suresh,Male,701.2437612230093
Amit,Male,715.9811089575176
Raj,Male,702.1671964212288
Raj,Male,685.8317647205081
Vikram,Male,703.6516900104832
Suresh,Male,702.4489730171273
Amit,Male,693.9670315122185
Rahul,Male,705.7355883687743
Suresh,Male,683.3233473380914
Suresh,Male,709.9056682744279
Rahul,Male,691.2187829639455
Arjun,Male,690.1505387488297
Vikram,Male,698.8617522769252
Amit,Male,704.3297292804364
Vikram,Male,701.6392406359342
Rahul,Male,692.5734083422763
Amit,Male,694.9391070880811
Raj,Male,688.6695765262253
Raj,Male,697.7532009837013
Amit,Male,710.7502121451091
Vikram,Male,699.9573706235612
Vikram,Male,708.5941425475945
Raj,Male,714.5540133772619
Raj,Male,694.1198148096304
Rahul,Male,698.1342674694464
Amit,Male,721.7119286106249
Vikram,Male,714.4434341197995
Rahul,Male,683.2759547418765
Vikram,Male,703.871483160609
Raj,Male,700.005599923397
Amit,Male,708.2645311085877
Arjun,Male,692.5502123251495
Amit,Male,691.6039162795932
Suresh,Male,693.2392928470639
Arjun,Male,694.2807145380157
Rahul,Male,708.1532416680901
Arjun,Male,688.1879882685112
Arjun,Male,693.7738610004068
Rahul,Male,682.1098760949856
Amit,Male,710.0711782341237
Rahul,Male,712.7103009943114
